Year,Rank,Title,Artist,Artist_cloud,count,size,genres,popularity,first_year,year_range,range_count
2020,80,Stuck with U,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2021,21,34+35,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2021,14,Positions,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2021,87,POV,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2021,2,Save Your Tears,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2022,40,Save Your Tears,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2012,2,Call Me Maybe,Carly Rae Jepsen,Carly~Rae~Jepsen,2,150,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",75,2008,2000-2010,476
2012,38,Good Time,Carly Rae Jepsen,Carly~Rae~Jepsen,2,150,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",75,2008,2000-2010,476
2015,19,Where Are ?? Now,Skrillex,Skrillex,1,83,"['brostep', 'complextro', 'edm', 'electro']",83,2008,2000-2010,476
2012,23,Take Care,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2012,20,The Motto,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2013,34,"Hold On, We're Going Home",Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2013,32,Started from the Bottom,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2014,97,0 to 100 / The Catch Up,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2014,55,"Hold On, We're Going Home",Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2015,99,Back to Back,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2015,30,Hotline Bling,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2016,41,Controlla,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2016,24,Hotline Bling,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2016,3,One Dance,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2016,82,Pop Style,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2016,29,Too Good,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2017,37,Fake Love,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2017,65,Passionfruit,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2018,1,God's Plan,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2018,86,I'm Upset,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2018,9,In My Feelings,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2018,11,Nice for What,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2018,52,Nonstop,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2018,25,Yes Indeed,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2019,34,Money in the Grave,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2020,41,Laugh Now Cry Later,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2020,32,Toosie Slide,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2021,45,Laugh Now Cry Later,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2021,47,Wants and Needs,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2021,68,What's Next,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2022,33,Jimmy Cooks,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2016,37,Jumpman,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2021,86,Knife Talk,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2021,48,Way 2 Sexy,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2022,60,Knife Talk,Drake,Drake,32,3136,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98,2008,2000-2010,476
2022,87,Ojitos Lindos,Bomba,Bomba,1,77,"['cumbia', 'latin alternative', 'latin rock', 'pop electronico', 'tropical alternativo']",77,2008,2000-2010,476
2014,68,Bottoms Up,Brantley Gilbert,Brantley~Gilbert,1,68,"['contemporary country', 'country', 'country road', 'modern country rock']",68,2008,2000-2010,476
2013,85,Hall of Fame,The Script,The~Script,1,76,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock']",76,2008,2000-2010,476
2012,85,Die Young,Kesha,Kesha,3,234,"['dance pop', 'pop', 'post-teen pop']",78,2008,2000-2010,476
2013,57,Die Young,Kesha,Kesha,3,234,"['dance pop', 'pop', 'post-teen pop']",78,2008,2000-2010,476
2017,67,Praying,Kesha,Kesha,3,234,"['dance pop', 'pop', 'post-teen pop']",78,2008,2000-2010,476
2012,71,Rolling in the Deep,Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2012,64,Rumour Has It,Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2012,12,Set Fire to the Rain,Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2012,43,Someone like You,Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2015,35,Hello,Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2016,7,Hello,Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2016,26,Send My Love (To Your New Lover),Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2016,83,When We Were Young,Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2017,88,Water Under the Bridge,Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2022,4,Easy on Me,Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2022,72,Oh My God,Adele,Adele,11,968,"['british soul', 'pop', 'pop soul', 'uk pop']",88,2008,2000-2010,476
2013,37,Applause,Lady Gaga,Lady~Gaga,4,356,"['art pop', 'dance pop', 'pop']",89,2008,2000-2010,476
2014,84,Do What U Want,Lady Gaga,Lady~Gaga,4,356,"['art pop', 'dance pop', 'pop']",89,2008,2000-2010,476
2019,19,Shallow,Lady Gaga,Lady~Gaga,4,356,"['art pop', 'dance pop', 'pop']",89,2008,2000-2010,476
2020,48,Rain on Me,Lady Gaga,Lady~Gaga,4,356,"['art pop', 'dance pop', 'pop']",89,2008,2000-2010,476
2015,16,Lean On,Major Lazer,Major~Lazer,3,228,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",76,2008,2000-2010,476
2016,25,Cold Water,Major Lazer,Major~Lazer,3,228,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",76,2008,2000-2010,476
2016,85,Lean On,Major Lazer,Major~Lazer,3,228,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",76,2008,2000-2010,476
2013,91,Bugatti,Ace Hood,Ace~Hood,1,63,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",63,2008,2000-2010,476
2012,39,Give Your Heart a Break,Demi Lovato,Demi~Lovato,5,405,"['dance pop', 'pop', 'post-teen pop']",81,2008,2000-2010,476
2013,50,Heart Attack,Demi Lovato,Demi~Lovato,5,405,"['dance pop', 'pop', 'post-teen pop']",81,2008,2000-2010,476
2015,53,Cool for the Summer,Demi Lovato,Demi~Lovato,5,405,"['dance pop', 'pop', 'post-teen pop']",81,2008,2000-2010,476
2017,47,Sorry Not Sorry,Demi Lovato,Demi~Lovato,5,405,"['dance pop', 'pop', 'post-teen pop']",81,2008,2000-2010,476
2018,64,Sorry Not Sorry,Demi Lovato,Demi~Lovato,5,405,"['dance pop', 'pop', 'post-teen pop']",81,2008,2000-2010,476
2013,93,Downtown,Lady Antebellum,Lady~Antebellum,2,142,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop']",71,2008,2000-2010,476
2014,81,Bartender,Lady Antebellum,Lady~Antebellum,2,142,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop']",71,2008,2000-2010,476
2019,55,Pure Water,Mustard,Mustard,2,152,"['cali rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']",76,2008,2000-2010,476
2020,25,Ballin',Mustard,Mustard,2,152,"['cali rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']",76,2008,2000-2010,476
2012,75,Pound the Alarm,Nicki Minaj,Nicki~Minaj,9,792,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",88,2008,2000-2010,476
2012,9,Starships,Nicki Minaj,Nicki~Minaj,9,792,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",88,2008,2000-2010,476
2014,36,Anaconda,Nicki Minaj,Nicki~Minaj,9,792,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",88,2008,2000-2010,476
2014,27,Bang Bang,Nicki Minaj,Nicki~Minaj,9,792,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",88,2008,2000-2010,476
2015,80,Bang Bang,Nicki Minaj,Nicki~Minaj,9,792,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",88,2008,2000-2010,476
2015,51,Only,Nicki Minaj,Nicki~Minaj,9,792,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",88,2008,2000-2010,476
2015,66,Truffle Butter,Nicki Minaj,Nicki~Minaj,9,792,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",88,2008,2000-2010,476
2018,34,MotorSport,Nicki Minaj,Nicki~Minaj,9,792,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",88,2008,2000-2010,476
2022,56,Super Freaky Girl,Nicki Minaj,Nicki~Minaj,9,792,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",88,2008,2000-2010,476
2013,98,Runnin' Outta Moonlight,Randy Houser,Randy~Houser,1,65,"['contemporary country', 'country', 'country road', 'modern country rock']",65,2008,2000-2010,476
2013,33,Come & Get It,Selena Gomez,Selena~Gomez,9,783,"['dance pop', 'pop', 'post-teen pop']",87,2008,2000-2010,476
2015,27,Good for You,Selena Gomez,Selena~Gomez,9,783,"['dance pop', 'pop', 'post-teen pop']",87,2008,2000-2010,476
2015,62,The Heart Wants What It Wants,Selena Gomez,Selena~Gomez,9,783,"['dance pop', 'pop', 'post-teen pop']",87,2008,2000-2010,476
2016,56,Hands to Myself,Selena Gomez,Selena~Gomez,9,783,"['dance pop', 'pop', 'post-teen pop']",87,2008,2000-2010,476
2016,40,Same Old Love,Selena Gomez,Selena~Gomez,9,783,"['dance pop', 'pop', 'post-teen pop']",87,2008,2000-2010,476
2017,27,It Ain't Me,Selena Gomez,Selena~Gomez,9,783,"['dance pop', 'pop', 'post-teen pop']",87,2008,2000-2010,476
2018,41,Back to You,Selena Gomez,Selena~Gomez,9,783,"['dance pop', 'pop', 'post-teen pop']",87,2008,2000-2010,476
2018,60,Wolves,Selena Gomez,Selena~Gomez,9,783,"['dance pop', 'pop', 'post-teen pop']",87,2008,2000-2010,476
2020,30,Lose You to Love Me,Selena Gomez,Selena~Gomez,9,783,"['dance pop', 'pop', 'post-teen pop']",87,2008,2000-2010,476
2016,21,Heathens,Twenty One Pilots,Twenty~One~Pilots,4,328,"['modern rock', 'rock']",82,2009,2000-2010,476
2016,20,Ride,Twenty One Pilots,Twenty~One~Pilots,4,328,"['modern rock', 'rock']",82,2009,2000-2010,476
2016,5,Stressed Out,Twenty One Pilots,Twenty~One~Pilots,4,328,"['modern rock', 'rock']",82,2009,2000-2010,476
2017,58,Heathens,Twenty One Pilots,Twenty~One~Pilots,4,328,"['modern rock', 'rock']",82,2009,2000-2010,476
2016,57,2 Phones,Kevin Gates,Kevin~Gates,2,154,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",77,2009,2000-2010,476
2016,92,Really Really,Kevin Gates,Kevin~Gates,2,154,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",77,2009,2000-2010,476
2022,34,'Til You Can't,Cody Johnson,Cody~Johnson,1,75,"['contemporary country', 'country', 'country road', 'texas country']",75,2009,2000-2010,476
2012,14,Some Nights,Fun,Fun,4,276,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",69,2009,2000-2010,476
2012,3,We Are Young,Fun,Fun,4,276,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",69,2009,2000-2010,476
2013,76,Carry On,Fun,Fun,4,276,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",69,2009,2000-2010,476
2013,58,Some Nights,Fun,Fun,4,276,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",69,2009,2000-2010,476
2018,79,King's Dead,James Blake,James~Blake,1,69,"['electronica', 'electropop', 'indie soul', 'uk alternative pop']",69,2009,2000-2010,476
2022,20,Me Porto Bonito,Chencho Corleone,Chencho~Corleone,1,83,['reggaeton flow'],83,2009,2000-2010,476
2019,19,Shallow,Bradley Cooper,Bradley~Cooper,1,72,['hollywood'],72,2009,2000-2010,476
2013,26,Don't You Worry Child,Swedish House Mafia,Swedish~House~Mafia,1,78,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']",78,2009,2000-2010,476
2014,43,Show Me,Kid Ink,Kid~Ink,1,70,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",70,2009,2000-2010,476
2021,50,Whoopty,CJ,CJ,1,65,['nyc rap'],65,2009,2000-2010,476
2016,15,I Took a Pill in Ibiza,Mike Posner,Mike~Posner,1,72,"['dance pop', 'edm', 'pop', 'pop rap']",72,2009,2000-2010,476
2012,91,It's Time,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2013,62,Demons,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2013,47,It's Time,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2013,3,Radioactive,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2014,23,Demons,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2014,57,Radioactive,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2016,68,Sucker for Pain,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2017,9,Believer,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2017,51,Thunder,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2018,100,Believer,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2018,69,Natural,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2018,22,Thunder,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2018,37,Whatever It Takes,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2022,15,Enemy,Imagine Dragons,Imagine~Dragons,14,1260,"['modern rock', 'rock']",90,2009,2000-2010,476
2012,26,It Will Rain,Bruno Mars,Bruno~Mars,9,819,"['dance pop', 'pop']",91,2009,2000-2010,476
2013,11,Locked Out of Heaven,Bruno Mars,Bruno~Mars,9,819,"['dance pop', 'pop']",91,2009,2000-2010,476
2013,30,Treasure,Bruno Mars,Bruno~Mars,9,819,"['dance pop', 'pop']",91,2009,2000-2010,476
2013,8,When I Was Your Man,Bruno Mars,Bruno~Mars,9,819,"['dance pop', 'pop']",91,2009,2000-2010,476
2017,16,24K Magic,Bruno Mars,Bruno~Mars,9,819,"['dance pop', 'pop']",91,2009,2000-2010,476
2017,3,That's What I Like,Bruno Mars,Bruno~Mars,9,819,"['dance pop', 'pop']",91,2009,2000-2010,476
2019,37,Please Me,Bruno Mars,Bruno~Mars,9,819,"['dance pop', 'pop']",91,2009,2000-2010,476
2019,51,Wake Up in the Sky,Bruno Mars,Bruno~Mars,9,819,"['dance pop', 'pop']",91,2009,2000-2010,476
2018,14,Finesse,Bruno Mars,Bruno~Mars,9,819,"['dance pop', 'pop']",91,2009,2000-2010,476
2017,48,Bank Account,21 Savage,21~Savage,2,188,"['atl hip hop', 'rap']",94,2009,2000-2010,476
2019,42,A Lot,21 Savage,21~Savage,2,188,"['atl hip hop', 'rap']",94,2009,2000-2010,476
2013,75,The A Team,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2014,52,Don't,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2014,56,Sing,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2015,92,Don't,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2015,34,Photograph,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2015,2,Thinking Out Loud,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2017,40,Castle on the Hill,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2017,1,Shape of You,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2018,2,Perfect,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2018,71,Shape of You,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2019,50,Beautiful People,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2019,16,I Don't Care,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2021,15,Bad Habits,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2022,13,Bad Habits,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2022,5,Shivers,Ed Sheeran,Ed~Sheeran,15,1380,"['pop', 'uk pop']",92,2009,2000-2010,476
2017,79,Magnolia,Playboi Carti,Playboi~Carti,1,85,"['atl hip hop', 'hip hop', 'plugg', 'pluggnb', 'rap']",85,2009,2000-2010,476
2016,68,Sucker for Pain,Ty Dolla Sign,Ty~Dolla~Sign,1,83,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul', 'urban contemporary', 'viral rap']",83,2009,2000-2010,476
2012,5,Lights,Ellie Goulding,Ellie~Goulding,5,405,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",81,2009,2000-2010,476
2014,39,Burn,Ellie Goulding,Ellie~Goulding,5,405,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",81,2009,2000-2010,476
2015,13,Love Me Like You Do,Ellie Goulding,Ellie~Goulding,5,405,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",81,2009,2000-2010,476
2016,81,On My Mind,Ellie Goulding,Ellie~Goulding,5,405,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",81,2009,2000-2010,476
2019,58,Close to Me,Ellie Goulding,Ellie~Goulding,5,405,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",81,2009,2000-2010,476
2014,42,Don't Tell 'Em,Jeremih,Jeremih,2,154,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",77,2009,2000-2010,476
2016,55,Oui,Jeremih,Jeremih,2,154,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",77,2009,2000-2010,476
2012,34,As Long as You Love Me,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2012,28,Boyfriend,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2013,42,Beauty and a Beat,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2015,33,What Do You Mean?,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2016,1,Love Yourself,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2016,2,Sorry,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2016,31,What Do You Mean?,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2019,16,I Don't Care,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2020,23,"10,000 Hours",Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2020,17,Intentions,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2020,80,Stuck with U,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2020,58,Yummy,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2021,74,Anyone,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2021,35,Holy,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2021,65,Lonely,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2021,10,Peaches,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2021,12,Stay,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2022,8,Ghost,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2022,3,Stay,Justin Bieber,Justin~Bieber,19,1748,"['canadian pop', 'pop']",92,2009,2000-2010,476
2013,52,I Will Wait,Mumford & Sons,Mumford~&~Sons,1,74,"['modern folk rock', 'stomp and holler', 'uk americana']",74,2009,2000-2010,476
2012,83,Love You like a Love Song,Selena Gomez & the Scene,Selena~Gomez~&~the~Scene,1,71,"['dance pop', 'pop', 'post-teen pop']",71,2009,2000-2010,476
2013,28,I Love It,Icona Pop,Icona~Pop,1,69,"['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop dance', 'swedish electropop', 'swedish synthpop', 'tropical house']",69,2010,2010-2020,646
2017,36,Strip That Down,Liam Payne,Liam~Payne,1,66,"['dance pop', 'pop', 'post-teen pop']",66,2010,2010-2020,646
2013,82,Troublemaker,Olly Murs,Olly~Murs,1,68,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'uk pop']",68,2010,2010-2020,646
2012,10,What Makes You Beautiful,One Direction,One~Direction,6,522,"['boy band', 'pop', 'post-teen pop', 'talent show']",87,2010,2010-2020,646
2013,74,Best Song Ever,One Direction,One~Direction,6,522,"['boy band', 'pop', 'post-teen pop', 'talent show']",87,2010,2010-2020,646
2014,24,Story of My Life,One Direction,One~Direction,6,522,"['boy band', 'pop', 'post-teen pop', 'talent show']",87,2010,2010-2020,646
2015,65,Drag Me Down,One Direction,One~Direction,6,522,"['boy band', 'pop', 'post-teen pop', 'talent show']",87,2010,2010-2020,646
2015,98,Night Changes,One Direction,One~Direction,6,522,"['boy band', 'pop', 'post-teen pop', 'talent show']",87,2010,2010-2020,646
2016,100,Perfect,One Direction,One~Direction,6,522,"['boy band', 'pop', 'post-teen pop', 'talent show']",87,2010,2010-2020,646
2012,87,A Thousand Years,Christina Perri,Christina~Perri,1,73,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",73,2010,2010-2020,646
2017,50,Mi Gente,J Balvin,J~Balvin,6,534,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",89,2010,2010-2020,646
2018,7,I Like It,J Balvin,J~Balvin,6,534,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",89,2010,2010-2020,646
2018,99,Mi Gente,J Balvin,J~Balvin,6,534,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",89,2010,2010-2020,646
2018,90,X,J Balvin,J~Balvin,6,534,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",89,2010,2010-2020,646
2019,69,I Like It,J Balvin,J~Balvin,6,534,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",89,2010,2010-2020,646
2020,50,Ritmo (Bad Boys for Life),J Balvin,J~Balvin,6,534,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",89,2010,2010-2020,646
